profile_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,max_step,trans_time
0,0,0.75,1,1.2,1.35,1.5,1.75,2,2.5,3.5,4.5,5,5,5,5,5,1,1000
1,0,0.75,1.2,1.35,1.5,1.75,2,2.5,3.5,3.75,4.5,5,5,5,5,5,2,500
2,0,1,1.25,1.5,1.75,2,2.25,2.6,3.75,4,4.5,5,5,5,5,5,1,2000
3,0,1.1,1.35,1.55,1.8,2.1,2.35,2.7,3,3.5,4.5,5,5,5,5,5,2,1500
4,0,1.2,1.45,1.65,1.95,2.25,2.5,2.8,3.1,3.6,4.5,5,5,5,5,5,1,1000
5,0,1.3,1.5,1.75,2,2.3,2.6,2.9,3.2,3.7,4.5,5,5,5,5,5,2,500
6,0,1.4,1.8,1.9,2.2,2.5,2.8,3.1,3.4,3.8,4.5,5,5,5,5,5,1,2000
7,0,1.5,1.9,2.1,2.3,2.6,2.85,3.2,3.6,3.9,4.5,5,5,5,5,5,2,1500
8,0,1.6,2,2.25,2.55,2.75,2.95,3.3,3.8,4.1,4.5,5,5,5,5,5,1,1000
9,0,1.7,2.2,2.5,2.65,2.85,3.1,3.5,3.9,4.2,4.5,5,5,5,5,5,2,500
10,0,1.8,2.4,2.6,2.8,1,1.2,1.4,1.6,1.8,4.5,5,5,5,5,5,1,2000
11,0,1.9,2.6,5,5,5,5,6,7,7.5,4.5,5,5,5,5,5,2,1500
12,0,2,2.8,5,5,5,5,6,7,7.5,4.5,5,5,5,5,5,1,1000
13,0,2,3,5,5,5,5,6,7,7.5,4.5,5,5,5,5,5,2,500
14,0,2,3.2,5,5,5,5,6,7,7.5,4.5,5,5,5,5,5,1,2000
15,0,2,3.4,5,5,5,5,6,7,7.5,4.5,5,5,5,5,5,2,1500
